divide_id,gw_Coeff,gw_Zmax,gw_Expon,bexp_soil_layers_stag=1,bexp_soil_layers_stag=2,bexp_soil_layers_stag=3,bexp_soil_layers_stag=4,ISLTYP,IVGTYP,dksat_soil_layers_stag=1,dksat_soil_layers_stag=2,dksat_soil_layers_stag=3,dksat_soil_layers_stag=4,psisat_soil_layers_stag=1,psisat_soil_layers_stag=2,psisat_soil_layers_stag=3,psisat_soil_layers_stag=4,cwpvt,mfsno,mp,quartz_soil_layers_stag=1,quartz_soil_layers_stag=2,quartz_soil_layers_stag=3,quartz_soil_layers_stag=4,refkdt,slope,smcmax_soil_layers_stag=1,smcmax_soil_layers_stag=2,smcmax_soil_layers_stag=3,smcmax_soil_layers_stag=4,smcwlt_soil_layers_stag=1,smcwlt_soil_layers_stag=2,smcwlt_soil_layers_stag=3,smcwlt_soil_layers_stag=4,vcmx25
cat-2917517,0.005,249.944412231,1.0,2.4440596103668213,2.4440596103668213,2.4440596103668213,2.4440596103668213,6,5,1.8372755095445703e-07,1.8372755095445703e-07,1.8372755095445703e-07,1.8372755095445703e-07,0.033143126295516356,0.033143126295516356,0.033143126295516356,0.033143126295516356,0.20432846248149872,3.952517032623291,12.387784957885742,0.4000000059604645,0.4000000059604645,0.4000000059604645,0.4000000059604645,3.7797894477844234,0.32664361596107483,0.49204197525978083,0.49204197525978083,0.49204197525978083,0.49204197525978083,0.06599999964237213,0.06599999964237213,0.06599999964237213,0.06599999964237213,73.22892768222134
cat-2918231,0.005,249.944412231,1.0,2.4440596103668213,2.4440596103668213,2.4440596103668213,2.4440596103668213,6,5,2.544546275890223e-07,2.544546275890223e-07,2.544546275890223e-07,2.544546275890223e-07,0.1026899774269367,0.1026899774269367,0.1026899774269367,0.1026899774269367,0.20432846248149872,3.952517032623291,12.387784957885742,0.4000000059604645,0.4000000059604645,0.4000000059604645,0.4000000059604645,3.779789447784424,0.32664361596107483,0.4920419752597809,0.4920419752597809,0.4920419752597809,0.4920419752597809,0.06599999964237213,0.06599999964237213,0.06599999964237213,0.06599999964237213,62.47946738440077
cat-2918038,0.005,249.944412231,1.0,2.206636428833008,2.206636428833008,2.206636428833008,2.206636428833008,3,11,4.553177099640097e-07,4.553177099640097e-07,4.553177099640097e-07,4.553177099640097e-07,0.040678151008020684,0.040678151008020684,0.040678151008020684,0.040678151008020684,0.20432846248149875,3.952517032623291,12.387784957885742,0.5202809386633592,0.5202809386633592,0.5202809386633592,0.5202809386633592,3.7797894477844234,0.32664361596107483,0.4886715969491171,0.4886715969491171,0.4886715969491171,0.4886715969491171,0.05457331130444594,0.05457331130444594,0.05457331130444594,0.05457331130444594,75.76437221550255
cat-2918039,0.005,249.944412231,1.0,2.4440596103668213,2.4440596103668213,2.4440596103668213,2.4440596103668213,6,8,3.40863231462434e-07,3.40863231462434e-07,3.40863231462434e-07,3.40863231462434e-07,0.08631830186397219,0.08631830186397219,0.08631830186397219,0.08631830186397219,0.20432846248149872,3.952517032623291,12.387784957885742,0.43914029279663536,0.43914029279663536,0.43914029279663536,0.43914029279663536,3.779789447784424,0.32664361596107483,0.49094522974192195,0.49094522974192195,0.49094522974192195,0.49094522974192195,0.062281672480421255,0.062281672480421255,0.062281672480421255,0.062281672480421255,65.05060878596016
cat-2917518,0.005,249.944412231,1.0,2.4440596103668213,2.4440596103668213,2.4440596103668213,2.4440596103668213,6,5,2.3096680779520517e-07,2.3096680779520517e-07,2.3096680779520517e-07,2.3096680779520517e-07,0.11830004826291052,0.11830004826291052,0.11830004826291052,0.11830004826291052,0.20432846248149872,3.952517032623291,12.387784957885742,0.4000000059604645,0.4000000059604645,0.4000000059604645,0.4000000059604645,3.7797894477844243,0.32664361596107483,0.4920419752597809,0.4920419752597809,0.4920419752597809,0.4920419752597809,0.06599999964237213,0.06599999964237213,0.06599999964237213,0.06599999964237213,64.27242275200074
cat-2917823,0.005,249.944412231,1.0,2.4440596103668213,2.4440596103668213,2.4440596103668213,2.4440596103668213,6,5,2.608721188983063e-07,2.608721188983063e-07,2.608721188983063e-07,2.608721188983063e-07,0.06186485573487971,0.06186485573487971,0.06186485573487971,0.06186485573487971,0.20432846248149872,3.952517032623292,12.387784957885742,0.40000000596046453,0.40000000596046453,0.40000000596046453,0.40000000596046453,3.779789447784424,0.32664361596107483,0.49204197525978094,0.49204197525978094,0.49204197525978094,0.49204197525978094,0.06599999964237213,0.06599999964237213,0.06599999964237213,0.06599999964237213,58.78458249157801
cat-2917824,0.005,249.944412231,1.0,2.4440596103668213,2.4440596103668213,2.4440596103668213,2.4440596103668213,6,5,3.7625828046753637e-07,3.7625828046753637e-07,3.7625828046753637e-07,3.7625828046753637e-07,0.13226014201174788,0.13226014201174788,0.13226014201174788,0.13226014201174788,0.20432846248149872,3.952517032623291,12.387784957885742,0.4000000059604645,0.4000000059604645,0.4000000059604645,0.4000000059604645,3.779789447784424,0.32664361596107483,0.4920419752597809,0.4920419752597809,0.4920419752597809,0.4920419752597809,0.06599999964237213,0.06599999964237213,0.06599999964237213,0.06599999964237213,54.113671145920065
cat-2917519,0.005,249.944412231,1.0,2.4440596103668213,2.4440596103668213,2.4440596103668213,2.4440596103668213,6,5,2.469051779309108e-07,2.469051779309108e-07,2.469051779309108e-07,2.469051779309108e-07,0.08482122394253837,0.08482122394253837,0.08482122394253837,0.08482122394253837,0.20963155964305727,3.8368698742647998,12.207816673570463,0.4000000059604645,0.4000000059604645,0.4000000059604645,0.4000000059604645,3.7833211544712766,0.3331009923061458,0.4896125231182492,0.4896125231182492,0.4896125231182492,0.4896125231182492,0.06599999964237213,0.06599999964237213,0.06599999964237213,0.06599999964237213,78.80853243678682
cat-2917520,0.005,249.944412231,1.0,2.261611223220825,2.261611223220825,2.261611223220825,2.261611223220825,6,5,1.6853430341867563e-07,1.6853430341867563e-07,1.6853430341867563e-07,1.6853430341867563e-07,0.05116491593484434,0.05116491593484434,0.05116491593484434,0.05116491593484434,0.3148651361229874,1.5419912942487066,8.636562812951482,0.4000000059604645,0.4000000059604645,0.4000000059604645,0.4000000059604645,3.853403620323432,0.46123984904717685,0.44140297123723726,0.44140297123723726,0.44140297123723726,0.44140297123723726,0.06599999964237213,0.06599999964237213,0.06599999964237213,0.06599999964237213,61.68898777440631
cat-2917757,0.005,249.944412231,1.0,2.4440596103668213,2.4440596103668213,2.4440596103668213,2.4440596103668213,6,11,1.7817161864520385e-07,1.7817161864520385e-07,1.7817161864520385e-07,1.7817161864520385e-07,0.0714650239188806,0.0714650239188806,0.0714650239188806,0.0714650239188806,0.21112263822353147,3.6899824123678653,11.144446971832524,0.4000000059604645,0.4000000059604645,0.4000000059604645,0.4000000059604645,3.7847534700704886,0.32417170253611843,0.49087189486132493,0.49087189486132493,0.49087189486132493,0.49087189486132493,0.06599999964237213,0.06599999964237213,0.06599999964237213,0.06599999964237213,74.36941306262824
cat-2918227,0.005,249.944412231,1.0,2.4440596103668213,2.4440596103668213,2.4440596103668213,2.4440596103668213,6,11,2.1706844158187003e-07,2.1706844158187003e-07,2.1706844158187003e-07,2.1706844158187003e-07,0.0745711817328743,0.0745711817328743,0.0745711817328743,0.0745711817328743,0.20687285349598813,3.8541988915958645,12.144480504294362,0.4000000059604644,0.4000000059604644,0.4000000059604644,0.4000000059604644,3.7816484538184088,0.32571789449818356,0.49160378493837914,0.49160378493837914,0.49160378493837914,0.49160378493837914,0.06599999964237213,0.06599999964237213,0.06599999964237213,0.06599999964237213,79.1887561236466
cat-2917758,0.005,249.944412231,1.0,2.4440596103668213,2.4440596103668213,2.4440596103668213,2.4440596103668213,6,11,1.2765242655216674e-07,1.2765242655216674e-07,1.2765242655216674e-07,1.2765242655216674e-07,0.04726891107111805,0.04726891107111805,0.04726891107111805,0.04726891107111805,0.20432846248149872,3.9525170326232906,12.387784957885742,0.42804979003720417,0.42804979003720417,0.42804979003720417,0.42804979003720417,3.779789447784424,0.32664361596107483,0.49125599545611104,0.49125599545611104,0.49125599545611104,0.49125599545611104,0.063335270217778,0.063335270217778,0.063335270217778,0.063335270217778,77.27235172781032
cat-2918230,0.005,249.944412231,1.0,2.4440596103668213,2.4440596103668213,2.4440596103668213,2.4440596103668213,6,11,3.3027949148058015e-07,3.3027949148058015e-07,3.3027949148058015e-07,3.3027949148058015e-07,0.05163549272686149,0.05163549272686149,0.05163549272686149,0.05163549272686149,0.20780765194924525,3.818077224117804,10.988235768165065,0.40196975750009073,0.40196975750009073,0.40196975750009073,0.40196975750009073,3.782331444740507,0.32537778836405185,0.49138760149173183,0.49138760149173183,0.49138760149173183,0.49138760149173183,0.06581287325051038,0.06581287325051038,0.06581287325051038,0.06581287325051038,75.56432804746086
cat-2917941,0.005,249.944412231,1.0,2.206636428833008,2.206636428833008,2.206636428833008,2.206636428833008,3,11,1.752539214963178e-07,1.752539214963178e-07,1.752539214963178e-07,1.752539214963178e-07,0.08750086817893425,0.08750086817893425,0.08750086817893425,0.08750086817893425,0.20552535782989537,3.906267645249808,12.293998597711989,0.5140201569355055,0.5140201569355055,0.5140201569355055,0.5140201569355055,3.780663934316583,0.32620815155857696,0.48864090249415815,0.48864090249415815,0.48864090249415815,0.48864090249415815,0.0551680855545981,0.0551680855545981,0.0551680855545981,0.0551680855545981,79.33086694585218
cat-2918229,0.005,249.944412231,1.0,2.4440596103668213,2.4440596103668213,2.4440596103668213,2.4440596103668213,6,11,4.3740935965756984e-07,4.3740935965756984e-07,4.3740935965756984e-07,4.3740935965756984e-07,0.06776446873817871,0.06776446873817871,0.06776446873817871,0.06776446873817871,0.2043284624814987,3.9525170326232915,12.38778495788574,0.4948359740778182,0.4948359740778182,0.4948359740778182,0.4948359740778182,3.779789447784424,0.32664361596107483,0.4893845874026127,0.4893845874026127,0.4893845874026127,0.4893845874026127,0.056990582883198415,0.056990582883198415,0.056990582883198415,0.056990582883198415,79.29824829101562
cat-2917942,0.005,249.944412231,1.0,2.206636428833008,2.206636428833008,2.206636428833008,2.206636428833008,3,11,1.5025245096160157e-07,1.5025245096160157e-07,1.5025245096160157e-07,1.5025245096160157e-07,0.07501812109482024,0.07501812109482024,0.07501812109482024,0.07501812109482024,0.20432846248149872,3.952517032623291,12.387784957885742,0.5792563236349103,0.5792563236349103,0.5792563236349103,0.5792563236349103,3.779789447784424,0.32664361596107483,0.4870190544063838,0.4870190544063838,0.4870190544063838,0.4870190544063838,0.04897064986396883,0.04897064986396883,0.04897064986396883,0.04897064986396883,76.55668365075886
